dates,actual_prices,predicted_prices_lstm,predicted_prices_transformer
2024-12-26,129.71,140.42062,219.15092
2024-12-27,136.77,139.19798,219.15352
2024-12-30,141.24,138.4278,219.1572
2024-12-31,135.13,138.09494,219.16068
2025-01-01,136.73,138.01688,219.16624
2025-01-02,140.44,138.06668,219.17052
2025-01-03,144.75,138.36076,219.1744
2025-01-06,143.92,138.95215,219.17796
2025-01-07,149.26,140.00458,219.17776
2025-01-08,144.31,141.24971,219.18047
2025-01-09,142.53,142.38058,219.18062
2025-01-10,148.29001,143.20491,219.1849
2025-01-13,137.5,144.0329,219.1874
2025-01-14,142.1,144.36758,219.19049
2025-01-15,148.09,144.62666,219.19205
2025-01-16,161.2,144.9208,219.19626
2025-01-17,147.01,145.76402,219.19899
2025-01-20,151.14,146.58553,219.2001
2025-01-21,146.47,147.30203,219.2011
2025-01-22,142.31999,147.8266,219.20306
2025-01-23,146.61,147.8714,219.20581
2025-01-24,153.88,147.84967,219.20697
2025-01-27,143.62,147.903,219.21088
2025-01-28,148.11,147.82715,219.21013
2025-01-29,156.98,147.67975,219.20888
2025-01-30,147.97,147.79669,219.20877
2025-01-31,154.31,147.75363,219.21184
2025-02-03,151.28,147.95982,219.21146
2025-02-04,152.84999,148.24916,219.20854
2025-02-05,155.39,148.59636,219.20866
2025-02-06,147.66,148.94424,219.21056
2025-02-07,152.47,149.11974,219.21191
2025-02-10,150.39,149.50845,219.21071
2025-02-11,149.86,149.92789,219.21071
2025-02-12,149.82,150.4823,219.20885
2025-02-13,153.49,151.0546,219.20581
2025-02-14,159.9,151.61676,219.20345
2025-02-17,150.25,152.12553,219.20618
2025-02-18,156.69,152.25616,219.20592
2025-02-19,147.54,152.38069,219.20624
2025-02-20,157.58,152.41757,219.2052
2025-02-21,146.26,152.74815,219.20459
2025-02-24,145.87999,152.93993,219.20367
2025-02-25,159.34,152.8586,219.20229
2025-02-26,151.74,153.10043,219.20187
2025-02-27,161.84999,153.3158,219.20142
2025-02-28,160.11,153.66866,219.20175
2025-03-03,163.29,154.39615,219.20055
2025-03-04,156.49,154.9914,219.19975
2025-03-05,164.95999,155.60646,219.19873
2025-03-06,151.51,156.1824,219.19804
2025-03-07,160.61,156.52203,219.1951
2025-03-10,160.48,156.78587,219.19197
2025-03-11,163.13998,157.2012,219.18906
2025-03-12,162.07,157.78044,219.18657
2025-03-13,154.61,157.99248,219.18448
2025-03-14,152.23,157.9811,219.18317
2025-03-17,154.44,157.91826,219.17805
2025-03-18,163.93,157.66809,219.1749
2025-03-19,164.09,157.54945,219.17406
2025-03-20,162.69,157.70569,219.1689
2025-03-21,152.59,157.89073,219.1663
2025-03-24,163.95,157.78491,219.16246
2025-03-25,169.68001,157.69463,219.16167
2025-03-26,159.95999,157.81856,219.16039
2025-03-27,155.70999,157.70901,219.16006
2025-03-28,159.0,157.56279,219.15773
2025-03-31,149.37,157.48975,219.15495
2025-04-01,162.13,157.42453,219.1526
2025-04-02,155.09,157.62836,219.14992
2025-04-03,160.48999,157.37303,219.15004
2025-04-04,168.16998,157.41061,219.1476
2025-04-07,156.44,157.70726,219.14612
2025-04-08,157.74,157.66545,219.14583
2025-04-09,154.85,157.52325,219.14536
2025-04-10,147.61,157.29428,219.1426
2025-04-11,149.61,156.51382,219.14232
2025-04-14,152.11,155.77704,219.14189
2025-04-15,156.85,155.1253,219.1414
2025-04-16,164.46,154.84387,219.1402
2025-04-17,148.21,154.9535,219.13895
2025-04-18,146.59,154.65678,219.13838
2025-04-21,148.36,154.18752,219.1366
2025-04-22,158.63,153.72427,219.13644
2025-04-23,158.35,153.34715,219.137
2025-04-24,163.29999,153.27277,219.1364
2025-04-25,154.85,153.51163,219.13525
2025-04-28,163.43999,153.95279,219.13316
2025-04-29,153.54001,154.48389,219.13284
2025-04-30,154.37999,154.81714,219.13184
2025-05-01,160.54999,154.96962,219.13048
2025-05-02,154.87,155.32458,219.12947
2025-05-05,164.19,155.45403,219.13034
2025-05-06,158.52,155.894,219.1299
2025-05-07,155.59,156.22107,219.1304
2025-05-08,165.29999,156.34586,219.13142
2025-05-09,158.15,156.84915,219.13098
2025-05-12,152.69,157.26851,219.12888
2025-05-13,154.48999,157.39064,219.12877
2025-05-14,153.5,157.27766,219.12817
2025-05-15,156.05,156.95384,219.12904
2025-05-16,150.49,156.54233,219.12962
2025-05-19,149.87,156.18083,219.12984
2025-05-20,148.81,155.60135,219.13039
2025-05-21,153.51999,154.92886,219.13112
2025-05-22,151.73,154.35756,219.13234
2025-05-23,145.75,153.83054,219.13148
2025-05-26,149.3,153.29747,219.1318
2025-05-27,143.51,152.69875,219.13089
2025-05-28,153.37,152.02539,219.13132
2025-05-29,154.18001,151.54076,219.13106
2025-05-30,142.79,151.13829,219.13333
2025-06-02,145.17,150.5811,219.13402
2025-06-03,153.13,149.94086,219.1361
2025-06-04,137.79001,149.61525,219.13835
2025-06-05,146.93,149.19733,219.13728
2025-06-06,141.1,148.73396,219.1392
2025-06-09,151.95,148.29453,219.14034
2025-06-10,145.64,148.06572,219.1418
2025-06-11,146.19,147.58652,219.14337
2025-06-12,145.13,147.02263,219.14557
2025-06-13,144.44,146.62643,219.14684
2025-06-16,133.77,146.27484,219.14903
2025-06-17,144.45,145.78719,219.14821
2025-06-18,139.5,145.46898,219.14954
2025-06-19,152.76,145.244,219.14839
2025-06-20,144.2,145.33376,219.15039
2025-06-23,144.18,145.22647,219.1529
2025-06-24,141.37001,145.13907,219.1562
2025-06-25,142.37,144.94281,219.15912
2025-06-26,142.54,144.80891,219.15916
2025-06-27,129.87,144.58775,219.16212
